ThickChord,Camber,CamberLoc,TotalChord,TotalSpan,Twist,XLoc,"outputs[""SM""]","outputs[""Cl""]","outputs[""Cd/Cl""]","outputs[""max_RCS""]","outputs[""Tot_Obj""]"
0.1,0.0,0.1,1.0,13.0,0.0,2.0,-2.438104491296862,0.0,inf,532.9872547573164,inf
0.1,0.0,0.1,1.0,2.0,1.0,3.0,-15.609569284901953,0.000611819507,0.2528849836100437,16.968034486377988,8.610459734994016
0.1,0.0,0.1,2.0,15.0,1.0,1.0,-3.6130011506881354,0.02047579478,0.11554484055050683,626.6957830769787,313.4056639587646
0.1,0.0,0.1,2.0,13.0,4.0,5.0,14.599954025345339,0.060451294163,0.046620622536232864,652.5784483965008,326.3125345095185
0.1,0.0,0.1,2.0,12.0,0.0,0.0,-10.95208633735831,0.0,inf,1086.1104380827157,inf
0.1,0.0,0.1,2.0,2.0,5.0,5.0,6.581044273199818,0.002742585774,0.14243477075659913,1018.130085966601,509.1362603686788
0.1,0.0,0.1,2.0,15.0,1.0,2.0,1.1037383513112164,0.020178094843,0.11708899251306785,626.6957830769787,313.4064360347459
0.1,0.0,0.1,2.0,13.0,0.0,1.0,-5.22741636199612,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,14.0,0.0,0.0,-8.79211120942491,0.0,inf,1702.471315184154,inf
0.1,0.0,0.1,2.0,6.0,1.0,4.0,6.129091539894933,0.004502141911,0.2022669302749129,724.9191265930925,362.56069676168374
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870688411954317,0.060359776421,0.04773127832523984,1083.123646798003,541.5856890381641
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39060429085858495,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,5.0,0.0,2.0,-9.705061605475326,0.0,inf,0.9543683944771795,inf
0.1,0.0,0.1,2.0,12.0,0.0,4.0,9.050300529044844,0.0,inf,1083.6015729990204,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39031011671459837,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,11.0,0.0,2.0,-1.9487343605708585,0.0,inf,857.3244664396834,inf
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.871933596834607,0.060359563038,0.04773143714089192,1083.123646798003,541.5856891175719
0.1,0.0,0.1,2.0,12.0,4.0,2.0,1.6699679691332747,0.064688168807,0.041494173022711085,1081.6664808028247,540.8539874879237
0.1,0.0,0.1,2.0,15.0,0.0,2.0,0.792127406823484,0.0,inf,626.6957830769787,inf
0.1,0.0,0.1,2.0,11.0,5.0,2.0,-2.316736286319747,0.071357191561,0.04406141195050051,857.3244664396834,428.68426392581694
0.1,0.0,0.1,2.0,13.0,1.0,3.0,4.552207260196788,0.016505576495,0.12335687133477491,652.5784483965008,326.35090263391777
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39096475983367185,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.3906511840057192,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,1.0,2.0,0.0,2.0,-19.176792243102625,0.0,inf,9.045350115765828,inf
0.1,0.0,0.1,2.0,13.0,0.0,2.0,-0.39064571248498936,0.0,inf,652.5784483965008,inf
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870808123640055,0.060359925672,0.04773126720956974,1083.123646798003,541.5856890326063
0.1,0.0,0.1,2.0,12.0,0.0,0.0,-10.952252625760469,0.0,inf,1086.1104380827157,inf
0.1,0.0,0.1,2.0,12.0,0.0,2.0,-1.1117675689395323,0.0,inf,1082.622420112703,inf
0.1,0.0,0.1,2.0,5.0,0.0,2.0,-9.705760043281172,0.0,inf,0.9543683944771795,inf
0.1,0.0,0.1,2.0,2.0,5.0,5.0,6.580986346940287,0.002742615138,0.14243337338423165,1018.130085966601,509.1362596699926
0.1,0.0,0.1,2.0,6.0,0.0,2.0,-8.046871811881259,0.0,inf,724.9191265930925,inf
0.1,0.0,0.1,1.0,9.0,4.0,2.0,-6.671389117468052,0.027775525876,0.03791509495451038,856.3083359596955,428.173125527325
0.1,0.0,0.1,2.0,12.0,4.0,4.0,8.870728337932396,0.060360028393,0.04773123341231096,1083.123646798003,541.5856890157077
